726506,20170201,18.7,25.8,9.4,7.7,
726506,20170202,-,9.9,10,9.4,
726506,20170203,-,-,10,7.3,
726506,20170204,-,-,10,-,
726506,20170205,-,-,10,-,
997340,20170201,-,33.4,999.9,-,
997340,20170202,-,17.6,999.9,-,
997340,20170203,-,16.5,999.9,12.3,
997340,20170204,-,22,999.9,8.5,
997340,20170205,-,32.6,999.9,10.8,
